#Country,Capital,Continent
Afghanistan,Kabul,Asia
Albania,Tirana,Europe
Algeria,Algiers,Africa
American Samoa,Pago Pago,Oceania
Andorra,Andorra La Vella,Europe
Angola,Luanda,Africa
Anguilla,The Valley,North America
Antigua and Barbuda,Saint Johns,North America
Argentina,Buenos Aires,South America
Armenia,Yerevan,Europe
Aruba,Oranjestad,North America
Australia,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Europe
Bahamas,Nassau,North America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,North America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,North America
Benin,Porto-Novo,Africa
Bermuda,Hamilton,North America
Bhutan,Thimphu,Asia
Bolivia,Sucre,South America
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasilia,South America
British Virgin Islands,Road Town,North America
Brunei,Bandar Seri Begawan,Asia
Bulgaria,Sofia,Europe
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaounde,Asia
Canada,Ottawa,North America
Cape Verde,Praia,Africa
Cayman Islands,George Town,North America
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,South America
China,Beijing,Asia
Christmas Island,Flying Fish Cove,Asia
Cocos Islands,West Island,Asia
Colombia,Bogota,South America
Comoros,Moroni,Africa
Cook Islands,Avarua,Oceania
Costa Rica,San Jose,North America
Croatia,Zagreb,Europe
Cuba,Havana,North America
Curacao,Willemstad,North America
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
D.R Congo,Kinshasa,Africa
Denmark,Copenhagen,Europe
Djibouti,Djibouti-city,Africa
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
East Timor,Dili,Asia
Ecuador,Quito,South America
Egypt,Cairo,Africa
El Salvador,San Salvador,North America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Ethiopia,Addis Ababa,Africa
Falkland Islands,Stanley,South America
Faroe Islands,Torshavn,Europe
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
French Guiana,Cayenne,South America
French Polynesia,Papeete,Oceania
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Georgia,Tbilisi,Europe
Germany,Berlin,Europe
Ghana,Accra,Africa
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Greenland,Nuuk,North America
Grenada,St. George's,North America
Guam,Hagatna,North America
Guatemala,Guatemala City,North America
Guernsey,Saint Peter Port,Europe
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Guyana,Georgetown,South America
Haiti,Port-au-prince,North America
Honduras,Tegucigalpa,North America
Hong Kong,Hong Kong City,Asia
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Israel,Jerusalem,Asia
Italy,Rome,Europe
Ivory Coast,Yamoussoukro,Africa
Jamaica,Kingston,North America
Japan,Tokyo,Asia
Jersey,Saint Helier,Europe
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,Asia
Kosovo,Pristina,Asia
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
